measure_id;measure_name;location_id;location_name;sex_id;sex_name;age_id;age_name;cause_id;cause_name;metric_id;metric_name;year;val;upper;lower
2;DALYs (Disability-Adjusted Life Years);1;Global;3;Both;22;All ages;558;Mental disorders;1;Number;1990;83631498.78;105289974.9;60263677.45
2;DALYs (Disability-Adjusted Life Years);1;Global;3;Both;22;All ages;558;Mental disorders;2;Percent;1990;0.03042552;0.037015427;0.022941352
2;DALYs (Disability-Adjusted Life Years);1;Global;3;Both;22;All ages;558;Mental disorders;3;Rate;1990;1567.278478;1973.164585;1129.358747
2;DALYs (Disability-Adjusted Life Years);1;Global;3;Both;22;All ages;559;Schizophrenia;1;Number;1990;9533394.67;12021860.06;6941599.666
2;DALYs (Disability-Adjusted Life Years);1;Global;3;Both;22;All ages;559;Schizophrenia;2;Percent;1990;0.003476355;0.004342438;0.002516988
2;DALYs (Disability-Adjusted Life Years);1;Global;3;Both;22;All ages;559;Schizophrenia;3;Rate;1990;178.6585737;225.2931349;130.0875856
2;DALYs (Disability-Adjusted Life Years);1;Global;3;Both;22;All ages;571;Anxiety disorders;1;Number;1990;21612639.93;30452836.91;14204466.21
2;DALYs (Disability-Adjusted Life Years);1;Global;3;Both;22;All ages;571;Anxiety disorders;2;Percent;1990;0.007861352;0.010990485;0.005370543
2;DALYs (Disability-Adjusted Life Years);1;Global;3;Both;22;All ages;571;Anxiety disorders;3;Rate;1990;405.0271238;570.6949722;266.1958054
2;DALYs (Disability-Adjusted Life Years);1;Global;3;Both;22;All ages;572;Eating disorders;1;Number;1990;2245119.756;3338303.546;1288634.394
2;DALYs (Disability-Adjusted Life Years);1;Global;3;Both;22;All ages;572;Eating disorders;2;Percent;1990;0.000815616;0.00116155;0.000496499
2;DALYs (Disability-Adjusted Life Years);1;Global;3;Both;22;All ages;572;Eating disorders;3;Rate;1990;42.07419363;62.56077407;24.14938129
2;DALYs (Disability-Adjusted Life Years);1;Global;3;Both;22;All ages;575;Autism spectrum disorders;1;Number;1990;5677258.156;11685950.41;2420793.814
2;DALYs (Disability-Adjusted Life Years);1;Global;3;Both;22;All ages;575;Autism spectrum disorders;2;Percent;1990;0.002071064;0.004231621;0.000893871
2;DALYs (Disability-Adjusted Life Years);1;Global;3;Both;22;All ages;575;Autism spectrum disorders;3;Rate;1990;106.39346;218.9980909;45.36637631
2;DALYs (Disability-Adjusted Life Years);1;Global;3;Both;22;All ages;578;Attention-deficit/hyperactivity disorder;1;Number;1990;2845618.349;4257921.272;1663466.125
2;DALYs (Disability-Adjusted Life Years);1;Global;3;Both;22;All ages;578;Attention-deficit/hyperactivity disorder;2;Percent;1990;0.001034065;0.00149479;0.000621741
2;DALYs (Disability-Adjusted Life Years);1;Global;3;Both;22;All ages;578;Attention-deficit/hyperactivity disorder;3;Rate;1990;53.32771097;79.79467627;31.17383635
2;DALYs (Disability-Adjusted Life Years);1;Global;3;Both;22;All ages;579;Conduct disorder;1;Number;1990;3754322.091;5942055.508;2135966.016
2;DALYs (Disability-Adjusted Life Years);1;Global;3;Both;22;All ages;579;Conduct disorder;2;Percent;1990;0.001364989;0.00212194;0.00081343
2;DALYs (Disability-Adjusted Life Years);1;Global;3;Both;22;All ages;579;Conduct disorder;3;Rate;1990;70.35708194;111.355839;40.02862098
2;DALYs (Disability-Adjusted Life Years);1;Global;3;Both;22;All ages;582;Idiopathic developmental intellectual disability;1;Number;1990;2875732.406;5380160.289;1363838.083
2;DALYs (Disability-Adjusted Life Years);1;Global;3;Both;22;All ages;582;Idiopathic developmental intellectual disability;2;Percent;1990;0.001044855;0.001911324;0.000505755
2;DALYs (Disability-Adjusted Life Years);1;Global;3;Both;22;All ages;582;Idiopathic developmental intellectual disability;3;Rate;1990;53.89205711;100.8257601;25.55872017
2;DALYs (Disability-Adjusted Life Years);1;Global;3;Both;22;All ages;585;Other mental disorders;1;Number;1990;5198698.83;7370601.3;3422342.098
